product_id,product_name,category,subcategory,brand,base_price_2015,current_price,weight_kg,avg_rating,total_reviews,is_prime_eligible,launch_year,model,is_active
PROD_0001,Product_1,Sports & Outdoors,Subcategory_6,Puma,6649.832391671028,3819.9679065568866,3.850450789317654,1.3914931791947471,5924,True,2018,Model_448,True
PROD_0002,Product_2,Sports & Outdoors,Subcategory_13,Puma,3173.088298251889,1590.4700873983593,2.261074716663515,1.7164392906467896,7581,False,2017,Model_929,True
PROD_0003,Product_3,Home & Kitchen,Subcategory_15,Nike,1719.2732610306814,5997.471088474526,8.412568453552257,1.2665138729930612,7671,True,2021,Model_556,True
PROD_0004,Product_4,Sports & Outdoors,Subcategory_1,Sony,5547.905896088999,1970.6357485581455,1.7291608350911203,2.0069025428562104,5576,True,2019,Model_369,True
PROD_0005,Product_5,Beauty & Personal Care,Subcategory_6,Apple,1706.8084653403942,1563.172531308344,1.3376300342327347,1.2621957312064147,168,True,2021,Model_869,True
PROD_0006,Product_6,Sports & Outdoors,Subcategory_13,Reebok,2641.786570489819,3670.4589020927715,5.621966485618951,3.01167823555553,6912,True,2023,Model_272,True
PROD_0007,Product_7,Books,Subcategory_3,Nike,4493.156134123869,568.5311111491842,2.3806133762739554,2.3607055273831743,4325,False,2016,Model_266,False
PROD_0008,Product_8,Books,Subcategory_12,Apple,2040.4779787914458,7752.251218554372,4.1435896635652805,1.301063811232508,2102,False,2023,Model_468,False
PROD_0009,Product_9,Clothing & Accessories,Subcategory_7,Sony,656.0236499145449,976.5640450608115,7.6123996337895985,1.8164077403980619,3857,True,2018,Model_432,True
PROD_0010,Product_10,Sports & Outdoors,Subcategory_13,Apple,1733.6575292954258,267.00106168429767,2.1367585764598798,1.2121533879878212,7345,True,2020,Model_939,True
PROD_0011,Product_11,Books,Subcategory_16,Nike,2118.4496038746056,2820.9525943460976,9.721178507794216,3.8536072799599594,9327,True,2020,Model_446,True
PROD_0012,Product_12,Clothing & Accessories,Subcategory_3,Samsung,3272.165497774011,2765.0138665987015,8.741591152884785,2.8028789100475446,5131,True,2016,Model_368,True
PROD_0013,Product_13,Sports & Outdoors,Subcategory_6,Sony,4867.006862265066,1485.0287506710035,3.210524332543299,2.320996707453763,1287,True,2016,Model_239,True
PROD_0014,Product_14,Sports & Outdoors,Subcategory_6,Apple,1250.8292000618758,2205.0695285104216,7.162110957375718,4.131295981637468,1209,False,2015,Model_536,True
PROD_0015,Product_15,Clothing & Accessories,Subcategory_4,Puma,3131.4174765626494,2855.2189785768405,6.926112282552595,2.7361153421310793,2167,True,2016,Model_437,True
PROD_0016,Product_16,Beauty & Personal Care,Subcategory_18,Adidas,3282.3812736842824,1839.1170758651276,1.1132652348934144,4.984644920694008,6368,False,2021,Model_423,True
PROD_0017,Product_17,Books,Subcategory_4,Nike,2237.3631582472403,6027.166256353517,9.413479681363215,4.614330668254157,1676,True,2019,Model_644,True
PROD_0018,Product_18,Home & Kitchen,Subcategory_17,LG,1510.210569099329,2610.224411224527,0.566416648510055,2.883765630860424,2445,True,2024,Model_106,True
PROD_0019,Product_19,Clothing & Accessories,Subcategory_17,Apple,3631.864755798719,2044.0042711312753,1.9246398910318758,2.2122606032180214,1872,False,2015,Model_235,True
PROD_0020,Product_20,Books,Subcategory_5,Sony,2488.5193579905213,1210.1244267782897,5.436503329520073,1.4607036316193307,9120,False,2018,Model_262,True
PROD_0021,Product_21,Electronics,Subcategory_6,Puma,1076.7305866853972,1032.6502853154157,3.059959716617305,1.8234017748465403,1,False,2024,Model_914,False
PROD_0022,Product_22,Clothing & Accessories,Subcategory_19,Puma,1270.2694227414495,2167.865291643895,0.5470979071290358,4.630281853407262,7602,True,2020,Model_891,True
PROD_0023,Product_23,Clothing & Accessories,Subcategory_7,Apple,534.8132686590378,1651.9684615859287,0.270970838785652,3.8503385722717676,7270,True,2021,Model_951,True
PROD_0024,Product_24,Books,Subcategory_14,LG,3515.4872647332877,1590.2577395107292,8.855473751605928,4.3839836453909315,1562,True,2019,Model_542,False
PROD_0025,Product_25,Home & Kitchen,Subcategory_12,LG,803.13986764036,1232.3083429440962,2.983494021391511,1.572332489247084,4952,False,2024,Model_280,True
PROD_0026,Product_26,Books,Subcategory_14,Puma,1656.614811084881,697.0390365990204,1.7135880572434858,2.672859379420154,1151,False,2015,Model_732,True
PROD_0027,Product_27,Home & Kitchen,Subcategory_12,Puma,1241.857219464028,1226.9686886273912,7.1477112270280605,3.5361229976114656,294,True,2018,Model_122,True
PROD_0028,Product_28,Electronics,Subcategory_9,Reebok,1797.1590884079521,2650.595614372537,5.455714328598554,4.050517799939709,2708,False,2019,Model_249,True
PROD_0029,Product_29,Home & Kitchen,Subcategory_7,Puma,1789.4298609431162,2201.3501413970353,8.547622107872629,4.18734840652724,6117,True,2017,Model_529,True
PROD_0030,Product_30,Electronics,Subcategory_3,Nike,3997.202803071402,1780.1120541990042,5.716514951156064,1.664183115448255,7659,False,2020,Model_252,True
PROD_0031,Product_31,Beauty & Personal Care,Subcategory_1,Adidas,530.574191761986,3500.184329234083,3.2078085987839384,3.1859622786075197,9829,False,2017,Model_994,True
PROD_0032,Product_32,Sports & Outdoors,Subcategory_4,Sony,525.2779122259585,1756.3330899352322,4.712782110547315,1.1504518444909744,3128,True,2017,Model_320,True
PROD_0033,Product_33,Clothing & Accessories,Subcategory_11,Apple,4070.543913260056,2691.002649344475,2.274401552998995,1.2106326519852617,5192,False,2021,Model_715,True
PROD_0034,Product_34,Beauty & Personal Care,Subcategory_13,Nike,5140.003683861646,790.907524134059,8.45397694122237,2.1974162466516485,5725,True,2017,Model_957,True
PROD_0035,Product_35,Sports & Outdoors,Subcategory_18,Apple,121.06999142832501,4162.684740179991,3.2064379971436785,1.1493111637227145,5680,False,2016,Model_488,True
PROD_0036,Product_36,Beauty & Personal Care,Subcategory_13,Reebok,1280.9811796295915,3909.4194368494664,6.389571738430444,4.332238104819347,2442,True,2019,Model_263,True
PROD_0037,Product_37,Electronics,Subcategory_9,Adidas,1177.0883655385437,3108.663872235369,5.309854148327455,3.946782547691077,3621,True,2021,Model_147,True
PROD_0038,Product_38,Beauty & Personal Care,Subcategory_2,Puma,1758.7751398990054,190.92928051800448,4.8896980731395825,2.746679543348337,1439,True,2017,Model_235,True
PROD_0039,Product_39,Home & Kitchen,Subcategory_16,LG,4023.14088912308,4383.924457880754,9.44353707597152,3.0465928579228683,7498,True,2024,Model_527,True
PROD_0040,Product_40,Electronics,Subcategory_14,Reebok,256.20864962478385,964.8679856666379,6.235217946364463,3.974675935933466,3753,True,2015,Model_695,True
PROD_0041,Product_41,Beauty & Personal Care,Subcategory_15,LG,2055.993035025607,5516.658453816699,9.219680526858761,3.644517686608877,4453,True,2022,Model_740,True
PROD_0042,Product_42,Home & Kitchen,Subcategory_11,Nike,1918.4440746924406,6057.020850215467,1.1798940228545018,2.1943179625498113,3822,True,2015,Model_544,True
PROD_0043,Product_43,Sports & Outdoors,Subcategory_12,Nike,2896.5979103185755,3134.8146917506433,8.83884328747498,3.165575036716974,2632,False,2023,Model_210,True
PROD_0044,Product_44,Sports & Outdoors,Subcategory_15,Samsung,1897.510074926755,937.5499507221731,4.302915887366694,2.994123288067637,1646,True,2021,Model_918,True
PROD_0045,Product_45,Sports & Outdoors,Subcategory_4,Samsung,478.17222686815387,3004.422229348658,6.7246976244351115,4.9440643609013115,2135,False,2021,Model_983,True
PROD_0046,Product_46,Clothing & Accessories,Subcategory_5,Adidas,627.8010167934066,1228.6442412983365,5.100613449683115,1.5760832950923649,7972,True,2024,Model_850,False
PROD_0047,Product_47,Clothing & Accessories,Subcategory_16,Reebok,1765.7673720446262,2475.9390069818382,4.128845371121073,1.5572253150943913,7550,True,2015,Model_348,True
PROD_0048,Product_48,Sports & Outdoors,Subcategory_11,Apple,1810.2042872943634,1527.6754780062151,4.253791091867698,2.690170584538544,7334,False,2017,Model_574,True
PROD_0049,Product_49,Sports & Outdoors,Subcategory_4,Nike,3339.3978019221677,3553.660507615787,9.207539530634843,3.163986022612169,8227,True,2019,Model_116,True
